FID,PD,LPI,ED,LSI,CONTAG,SHDI,SHEI,AI
11917,51.0417,95.5556,37.654,1.1786,74.6274,0.1818,0.2623,97.3457
11918,31.901,97.2222,28.2405,1.25,82.2522,0.1269,0.1831,96.0178
11919,27.2259,94.8276,47.4733,1.7614,71.7963,0.2036,0.2937,92.8858
11920,38.2812,94.4444,41.4194,1.2895,71.3454,0.2146,0.3095,95.2759
11921,41.7614,86.6667,88.3157,1.8269,47.2971,0.3927,0.5665,87.5632
11922,24.966,52.3292,133.66,3.4902,24.6341,0.5723,0.8257,80.5645
11923,53.1684,48.1481,153.7538,2.1667,9.5879,0.6904,0.996,78.9259
11924,153.125,76.6667,112.962,1.4545,27.9655,0.5433,0.7838,86.9907
11925,51.2695,67.8571,78.67,1.6364,28.2418,0.6211,0.896,90.129
11926,47.8515,95.8333,28.2405,1.1429,77.4311,0.1732,0.2499,98.7714
11927,41.0156,75.3968,168.0982,2.9531,22.2647,0.5579,0.8049,75.0473
11928,62.642,86.6667,106.8004,2.0,45.065,0.3927,0.5665,84.3407
11929,41.102,76.0,151.2502,3.4091,25.1888,0.5462,0.788,77.798
11930,43.2353,92.0,65.3851,1.9762,62.0169,0.2788,0.4022,90.4313
11931,8.031,99.6503,3.5547,1.0735,96.9371,0.0233,0.0336,99.2785
11932,40.5331,79.4118,129.5741,2.7568,31.4837,0.5045,0.7278,81.1111
11933,39.2886,82.1053,124.8527,2.7949,35.9764,0.4658,0.672,81.7884
11934,26.9932,96.1538,40.1884,1.8952,77.0999,0.163,0.2352,94.0031
11935,19.2322,96.89,29.1864,1.439,81.0011,0.1385,0.1999,95.9107
11936,22.9687,42.625,197.8247,5.1491,6.9042,0.6819,0.9837,70.5762
11937,27.6067,63.4615,175.96,2.8621,11.3134,0.6537,0.9432,74.4696
11938,43.5014,94.697,46.2117,1.3913,71.5722,0.2073,0.2991,93.7654
11939,45.0368,81.6993,94.5042,2.5116,41.8627,0.4453,0.6424,86.4293
11940,31.25,90.4762,74.9238,1.9286,57.0634,0.3145,0.4537,89.0882
